  kx         ky         kz
  2.012661   -0.580188   -5.770272  
  2.214538   -0.367974   -5.770272  
  2.414167   -0.034838   -5.770272  
  2.414167   0.034838   -5.770272  


  2.419247   0.056536   -5.513816  
  2.216095   0.372633   -5.513816  
  2.013730   0.582613   -5.513816  
  1.823010   0.771499   -5.513816  
  1.641601   0.950309   -5.513816  
  1.466508   1.123681   -5.513816  
  1.294806   1.294806   -5.513816  
  1.294806   1.294806   -5.513816  
  1.123681   1.466508   -5.513816  
  0.950309   1.641601   -5.513816  
  0.771499   1.823010   -5.513816  
  0.582613   2.013730   -5.513816  
  0.372633   2.216095   -5.513816  
  0.056536   2.419247   -5.513816  
  -0.056536   2.419247   -5.513816  
  -0.372633   2.216095   -5.513816  
  -0.582613   2.013730   -5.513816  
  -0.771499   1.823010   -5.513816  
  -0.950309   1.641601   -5.513816  
  -1.123681   1.466508   -5.513816  
  -1.294806   1.294806   -5.513816  
  -1.294806   1.294806   -5.513816  
  -1.466508   1.123681   -5.513816  
  -1.641601   0.950309   -5.513816  
  -1.823010   0.771499   -5.513816  
  -2.013730   0.582613   -5.513816  
  -2.216095   0.372633   -5.513816  
  -2.419247   0.056536   -5.513816  
  -2.419247   -0.056536   -5.513816  
  -2.216095   -0.372633   -5.513816  
  -2.013730   -0.582613   -5.513816  
  -1.823010   -0.771499   -5.513816  
  -1.641601   -0.950309   -5.513816  
  -1.466508   -1.123681   -5.513816  
  -1.294806   -1.294806   -5.513816  
  -1.294806   -1.294806   -5.513816  
  -1.123681   -1.466508   -5.513816  
  -0.950309   -1.641601   -5.513816  
  -0.771499   -1.823010   -5.513816  
  -0.582613   -2.013730   -5.513816  
  -0.372633   -2.216095   -5.513816  
  -0.056536   -2.419247   -5.513816  
  0.056536   -2.419247   -5.513816  
  0.372633   -2.216095   -5.513816  
  0.582613   -2.013730   -5.513816  
  0.771499   -1.823010   -5.513816  
  0.950309   -1.641601   -5.513816  
  1.123681   -1.466508   -5.513816  
  1.294806   -1.294806   -5.513816  
  1.294806   -1.294806   -5.513816  
  1.466508   -1.123681   -5.513816  
  1.641601   -0.950309   -5.513816  
  1.823010   -0.771499   -5.513816  
  2.013730   -0.582613   -5.513816  
  2.216095   -0.372633   -5.513816  
  2.419247   -0.056536   -5.513816  
  2.419247   0.056536   -5.513816  


  2.424973   0.080989   -5.257359  
  2.218205   0.378946   -5.257359  
  2.015192   0.585930   -5.257359  
  1.823933   0.773156   -5.257359  
  1.642058   0.950977   -5.257359  
  1.466635   1.123834   -5.257359  
  1.294806   1.294806   -5.257359  
  1.294806   1.294806   -5.257359  
  1.123834   1.466635   -5.257359  
  0.950977   1.642058   -5.257359  
  0.773156   1.823933   -5.257359  
  0.585930   2.015192   -5.257359  
  0.378946   2.218205   -5.257359  
  0.080989   2.424973   -5.257359  
  -0.080989   2.424973   -5.257359  
  -0.378946   2.218205   -5.257359  
  -0.585930   2.015192   -5.257359  
  -0.773156   1.823933   -5.257359  
  -0.950977   1.642058   -5.257359  
  -1.123834   1.466635   -5.257359  
  -1.294806   1.294806   -5.257359  
  -1.294806   1.294806   -5.257359  
  -1.466635   1.123834   -5.257359  
  -1.642058   0.950977   -5.257359  
  -1.823933   0.773156   -5.257359  
  -2.015192   0.585930   -5.257359  
  -2.218205   0.378946   -5.257359  
  -2.424973   0.080989   -5.257359  
  -2.424973   -0.080989   -5.257359  
  -2.218205   -0.378946   -5.257359  
  -2.015192   -0.585930   -5.257359  
  -1.823933   -0.773156   -5.257359  
  -1.642058   -0.950977   -5.257359  
  -1.466635   -1.123834   -5.257359  
  -1.294806   -1.294806   -5.257359  
  -1.294806   -1.294806   -5.257359  
  -1.123834   -1.466635   -5.257359  
  -0.950977   -1.642058   -5.257359  
  -0.773156   -1.823933   -5.257359  
  -0.585930   -2.015192   -5.257359  
  -0.378946   -2.218205   -5.257359  
  -0.080989   -2.424973   -5.257359  
  0.080989   -2.424973   -5.257359  
  0.378946   -2.218205   -5.257359  
  0.585930   -2.015192   -5.257359  
  0.773156   -1.823933   -5.257359  
